,,0,1,2,3,4
1,10,1,1,1,1,1
1,17,1,1,1,1,1
1,22,1,1,1,1,1
1,25,1,1,1,1,1
1,29,1,1,1,1,1
1,56,1,1,1,1,1
1,151,1,1,1,1,1
1,190,1,1,1,1,1
2,39,1,1,1,1,1
2,128,1,1,1,1,1
2,173,1,1,1,1,1
4,31,1,1,1,1,1
4,34,1,1,1,1,1
4,143,1,1,1,1,1
9,61,1,1,1,1,1
9,72,1,1,1,1,1
9,73,1,1,1,1,1
9,89,1,1,1,1,1
9,135,1,1,1,1,1
10,39,1,1,1,1,1
10,128,1,1,1,1,1
10,173,1,1,1,1,1
12,31,1,1,1,1,1
12,34,1,1,1,1,1
12,143,1,1,1,1,1
14,11,1,1,1,1,1
14,12,1,1,1,1,1
14,26,1,1,1,1,1
14,45,1,1,1,1,1
14,95,1,1,1,1,1
14,102,1,1,1,1,1
14,159,1,1,1,1,1
14,163,1,1,1,1,1
14,188,1,1,1,1,1
18,11,1,1,1,1,1
18,12,1,1,1,1,1
18,26,1,1,1,1,1
18,45,1,1,1,1,1
18,95,1,1,1,1,1
18,102,1,1,1,1,1
18,159,1,1,1,1,1
18,163,1,1,1,1,1
18,188,1,1,1,1,1
28,39,1,1,1,1,1
28,128,1,1,1,1,1
28,173,1,1,1,1,1
39,10,1,1,1,1,1
39,17,1,1,1,1,1
39,22,1,1,1,1,1
39,25,1,1,1,1,1
39,29,1,1,1,1,1
39,56,1,1,1,1,1
39,151,1,1,1,1,1
39,190,1,1,1,1,1
77,10,1,1,1,1,1
77,17,1,1,1,1,1
77,22,1,1,1,1,1
77,25,1,1,1,1,1
77,29,1,1,1,1,1
77,56,1,1,1,1,1
77,151,1,1,1,1,1
77,190,1,1,1,1,1
80,10,1,1,1,1,1
80,17,1,1,1,1,1
80,22,1,1,1,1,1
80,25,1,1,1,1,1
80,29,1,1,1,1,1
80,56,1,1,1,1,1
80,151,1,1,1,1,1
80,190,1,1,1,1,1
82,52,1,1,1,1,1
82,114,1,1,1,1,1
82,195,1,1,1,1,1
84,35,1,1,1,1,1
84,37,1,1,1,1,1
84,177,1,1,1,1,1
92,27,1,1,1,1,1
105,98,1,1,1,1,1
105,134,1,1,1,1,1
115,61,1,1,1,1,1
115,72,1,1,1,1,1
115,73,1,1,1,1,1
115,89,1,1,1,1,1
115,135,1,1,1,1,1
121,61,1,1,1,1,1
121,72,1,1,1,1,1
121,73,1,1,1,1,1
121,89,1,1,1,1,1
121,135,1,1,1,1,1
125,31,1,1,1,1,1
125,34,1,1,1,1,1
125,143,1,1,1,1,1
129,11,1,1,1,1,1
129,12,1,1,1,1,1
129,26,1,1,1,1,1
129,45,1,1,1,1,1
129,95,1,1,1,1,1
129,102,1,1,1,1,1
129,159,1,1,1,1,1
129,163,1,1,1,1,1
129,188,1,1,1,1,1
131,38,1,1,1,1,1
131,44,1,1,1,1,1
131,104,1,1,1,1,1
131,125,1,1,1,1,1
131,132,1,1,1,1,1
131,158,1,1,1,1,1
131,189,1,1,1,1,1
132,35,1,1,1,1,1
132,37,1,1,1,1,1
132,177,1,1,1,1,1
135,11,1,1,1,1,1
135,12,1,1,1,1,1
135,26,1,1,1,1,1
135,45,1,1,1,1,1
135,95,1,1,1,1,1
135,102,1,1,1,1,1
135,159,1,1,1,1,1
135,163,1,1,1,1,1
135,188,1,1,1,1,1
140,10,1,1,1,1,1
140,17,1,1,1,1,1
140,22,1,1,1,1,1
140,25,1,1,1,1,1
140,29,1,1,1,1,1
140,56,1,1,1,1,1
140,151,1,1,1,1,1
140,190,1,1,1,1,1
151,39,1,1,1,1,1
151,128,1,1,1,1,1
151,173,1,1,1,1,1
155,10,1,1,1,1,1
155,17,1,1,1,1,1
155,22,1,1,1,1,1
155,25,1,1,1,1,1
155,29,1,1,1,1,1
155,56,1,1,1,1,1
155,151,1,1,1,1,1
155,190,1,1,1,1,1
159,3,1,1,1,1,1
159,69,1,1,1,1,1
159,92,1,1,1,1,1
159,112,1,1,1,1,1
159,192,1,1,1,1,1
171,91,1,1,1,1,1
171,127,1,1,1,1,1
174,11,1,1,1,1,1
174,12,1,1,1,1,1
174,26,1,1,1,1,1
174,45,1,1,1,1,1
174,95,1,1,1,1,1
174,102,1,1,1,1,1
174,159,1,1,1,1,1
174,163,1,1,1,1,1
174,188,1,1,1,1,1
184,38,1,1,1,1,1
184,44,1,1,1,1,1
184,104,1,1,1,1,1
184,125,1,1,1,1,1
184,132,1,1,1,1,1
184,158,1,1,1,1,1
184,189,1,1,1,1,1
188,38,1,1,1,1,1
188,44,1,1,1,1,1
188,104,1,1,1,1,1
188,125,1,1,1,1,1
188,132,1,1,1,1,1
188,158,1,1,1,1,1
188,189,1,1,1,1,1
207,126,1,1,1,1,1
210,3,1,1,1,1,1
210,69,1,1,1,1,1
210,92,1,1,1,1,1
210,112,1,1,1,1,1
210,192,1,1,1,1,1
212,10,1,1,1,1,1
212,17,1,1,1,1,1
212,22,1,1,1,1,1
212,25,1,1,1,1,1
212,29,1,1,1,1,1
212,56,1,1,1,1,1
212,151,1,1,1,1,1
212,190,1,1,1,1,1
213,6,1,1,1,1,1
213,23,1,1,1,1,1
213,174,1,1,1,1,1
214,61,1,1,1,1,1
214,72,1,1,1,1,1
214,73,1,1,1,1,1
214,89,1,1,1,1,1
214,135,1,1,1,1,1
216,91,1,1,1,1,1
216,127,1,1,1,1,1
239,10,1,1,1,1,1
239,17,1,1,1,1,1
239,22,1,1,1,1,1
239,25,1,1,1,1,1
239,29,1,1,1,1,1
239,56,1,1,1,1,1
239,151,1,1,1,1,1
239,190,1,1,1,1,1
240,35,1,1,1,1,1
240,37,1,1,1,1,1
240,177,1,1,1,1,1
242,42,1,1,1,1,1
242,78,1,1,1,1,1
242,141,1,1,1,1,1
242,161,1,1,1,1,1
248,42,1,1,1,1,1
248,78,1,1,1,1,1
248,141,1,1,1,1,1
248,161,1,1,1,1,1
249,144,1,1,1,1,1
255,61,1,1,1,1,1
255,72,1,1,1,1,1
255,73,1,1,1,1,1
255,89,1,1,1,1,1
255,135,1,1,1,1,1
265,38,1,1,1,1,1
265,44,1,1,1,1,1
265,104,1,1,1,1,1
265,125,1,1,1,1,1
265,132,1,1,1,1,1
265,158,1,1,1,1,1
265,189,1,1,1,1,1
272,38,1,1,1,1,1
272,44,1,1,1,1,1
272,104,1,1,1,1,1
272,125,1,1,1,1,1
272,132,1,1,1,1,1
272,158,1,1,1,1,1
272,189,1,1,1,1,1
275,7,1,1,1,1,1
275,54,1,1,1,1,1
275,172,1,1,1,1,1
275,175,1,1,1,1,1
276,38,1,1,1,1,1
276,44,1,1,1,1,1
276,104,1,1,1,1,1
276,125,1,1,1,1,1
276,132,1,1,1,1,1
276,158,1,1,1,1,1
276,189,1,1,1,1,1
277,52,1,1,1,1,1
277,114,1,1,1,1,1
277,195,1,1,1,1,1
288,118,1,1,1,1,1
289,11,1,1,1,1,1
289,12,1,1,1,1,1
289,26,1,1,1,1,1
289,45,1,1,1,1,1
289,95,1,1,1,1,1
289,102,1,1,1,1,1
289,159,1,1,1,1,1
289,163,1,1,1,1,1
289,188,1,1,1,1,1
292,6,1,1,1,1,1
292,23,1,1,1,1,1
292,174,1,1,1,1,1
296,7,1,1,1,1,1
296,54,1,1,1,1,1
296,172,1,1,1,1,1
296,175,1,1,1,1,1
300,3,1,1,1,1,1
300,69,1,1,1,1,1
300,92,1,1,1,1,1
300,112,1,1,1,1,1
300,192,1,1,1,1,1
305,6,1,1,1,1,1
305,23,1,1,1,1,1
305,174,1,1,1,1,1
310,7,1,1,1,1,1
310,54,1,1,1,1,1
310,172,1,1,1,1,1
310,175,1,1,1,1,1
317,98,1,1,1,1,1
317,134,1,1,1,1,1
325,38,1,1,1,1,1
325,44,1,1,1,1,1
325,104,1,1,1,1,1
325,125,1,1,1,1,1
325,132,1,1,1,1,1
325,158,1,1,1,1,1
325,189,1,1,1,1,1
335,42,1,1,1,1,1
335,78,1,1,1,1,1
335,141,1,1,1,1,1
335,161,1,1,1,1,1
337,3,1,1,1,1,1
337,69,1,1,1,1,1
337,92,1,1,1,1,1
337,112,1,1,1,1,1
337,192,1,1,1,1,1
351,7,1,1,1,1,1
351,54,1,1,1,1,1
351,172,1,1,1,1,1
351,175,1,1,1,1,1
357,42,1,1,1,1,1
357,78,1,1,1,1,1
357,141,1,1,1,1,1
357,161,1,1,1,1,1
362,3,1,1,1,1,1
362,69,1,1,1,1,1
362,92,1,1,1,1,1
362,112,1,1,1,1,1
362,192,1,1,1,1,1
364,85,1,1,1,1,1
374,11,1,1,1,1,1
374,12,1,1,1,1,1
374,26,1,1,1,1,1
374,45,1,1,1,1,1
374,95,1,1,1,1,1
374,102,1,1,1,1,1
374,159,1,1,1,1,1
374,163,1,1,1,1,1
374,188,1,1,1,1,1
405,11,1,1,1,1,1
405,12,1,1,1,1,1
405,26,1,1,1,1,1
405,45,1,1,1,1,1
405,95,1,1,1,1,1
405,102,1,1,1,1,1
405,159,1,1,1,1,1
405,163,1,1,1,1,1
405,188,1,1,1,1,1
410,52,1,1,1,1,1
410,114,1,1,1,1,1
410,195,1,1,1,1,1
417,71,1,1,1,1,1
424,11,1,1,1,1,1
424,12,1,1,1,1,1
424,26,1,1,1,1,1
424,45,1,1,1,1,1
424,95,1,1,1,1,1
424,102,1,1,1,1,1
424,159,1,1,1,1,1
424,163,1,1,1,1,1
424,188,1,1,1,1,1
434,20,1,1,1,1,1
434,57,1,1,1,1,1
434,62,1,1,1,1,1
434,77,1,1,1,1,1
434,86,1,1,1,1,1
