,,0,1,2,3,4
1,3,1,1,0,1,1
1,11,0,1,1,1,1
1,12,0,1,1,1,1
1,26,0,1,1,1,1
1,41,1,1,1,0,1
1,43,1,1,1,0,1
1,45,0,1,1,1,1
1,48,1,1,1,0,1
1,49,1,1,1,0,1
1,52,1,1,1,1,0
1,61,1,1,1,1,0
1,69,1,1,0,1,1
1,71,1,0,1,1,1
1,72,1,1,1,1,0
1,73,1,1,1,1,0
1,88,1,1,1,0,1
1,89,1,1,1,1,0
1,92,1,1,0,1,1
1,95,0,1,1,1,1
1,98,1,1,1,1,0
1,102,0,1,1,1,1
1,112,1,1,0,1,1
1,114,1,1,1,1,0
1,134,1,1,1,1,0
1,135,1,1,1,1,0
1,159,0,1,1,1,1
1,160,1,1,1,0,1
1,163,0,1,1,1,1
1,166,1,1,1,0,1
1,188,0,1,1,1,1
1,192,1,1,0,1,1
1,195,1,1,1,1,0
2,11,1,1,1,1,0
2,12,1,1,1,1,0
2,14,1,1,1,0,1
2,16,1,1,1,0,1
2,26,1,1,1,1,0
2,31,1,1,1,1,0
2,34,1,1,1,1,0
2,38,1,1,1,1,0
2,44,1,1,1,1,0
2,45,1,1,1,1,0
2,46,1,1,1,0,1
2,58,1,1,1,0,1
2,61,0,1,1,1,1
2,72,0,1,1,1,1
2,73,0,1,1,1,1
2,89,0,1,1,1,1
2,95,1,1,1,1,0
2,102,1,1,1,1,0
2,103,1,1,1,0,1
2,104,1,1,1,1,0
2,125,1,1,1,1,0
2,132,1,1,1,1,0
2,135,0,1,1,1,1
2,136,1,1,1,0,1
2,143,1,1,1,1,0
2,153,1,1,1,0,1
2,158,1,1,1,1,0
2,159,1,1,1,1,0
2,163,1,1,1,1,0
2,188,1,1,1,1,0
2,189,1,1,1,1,0
4,11,1,1,1,1,0
4,12,1,1,1,1,0
4,26,1,1,1,1,0
4,27,1,0,1,1,1
4,38,1,1,1,1,0
4,39,1,1,1,1,0
4,42,1,1,0,1,1
4,44,1,1,1,1,0
4,45,1,1,1,1,0
4,52,0,1,1,1,1
4,63,1,1,1,0,1
4,76,1,1,1,0,1
